ca,polarity,bo,mo,org.flowrate,pitch,L,GT
0.045747325,2.4,0.0346,4.34E-10,200,0.245,7,4200
0.09149465,2.4,0.0346,4.34E-10,400,0.245,7,2700
0.114368312,2.4,0.0346,4.34E-10,500,0.245,7,2500
0.137241974,2.4,0.0346,4.34E-10,600,0.245,7,2500
0.182989299,2.4,0.0346,4.34E-10,800,0.245,7,2500
0.205862962,2.4,0.0346,4.34E-10,900,0.245,7,2500
0.228736624,2.4,0.0346,4.34E-10,1000,0.245,7,2400
0.251610287,2.4,0.0346,4.34E-10,1100,0.245,7,2200
0.045747325,2.4,0.0346,4.34E-10,200,0.245,7,3800
0.068620987,2.4,0.0346,4.34E-10,300,0.245,7,2900
0.09149465,2.4,0.0346,4.34E-10,400,0.245,7,2600
0.114368312,2.4,0.0346,4.34E-10,500,0.245,7,2600
0.137241974,2.4,0.0346,4.34E-10,600,0.245,7,2600
0.160115637,2.4,0.0346,4.34E-10,700,0.245,7,2700
0.182989299,2.4,0.0346,4.34E-10,800,0.245,7,2600
0.205862962,2.4,0.0346,4.34E-10,900,0.245,7,2500
0.228736624,2.4,0.0346,4.34E-10,1000,0.245,7,2600
0.251610287,2.4,0.0346,4.34E-10,1100,0.245,7,2400
0.045747325,2.4,0.0346,4.34E-10,200,0.245,7,4600
0.068620987,2.4,0.0346,4.34E-10,300,0.245,7,3800
0.09149465,2.4,0.0346,4.34E-10,400,0.245,7,3200
0.114368312,2.4,0.0346,4.34E-10,500,0.245,7,2900
0.137241974,2.4,0.0346,4.34E-10,600,0.245,7,2800
0.160115637,2.4,0.0346,4.34E-10,700,0.245,7,2900
0.182989299,2.4,0.0346,4.34E-10,800,0.245,7,2800
0.205862962,2.4,0.0346,4.34E-10,900,0.245,7,2700
0.228736624,2.4,0.0346,4.34E-10,1000,0.245,7,2700
0.251610287,2.4,0.0346,4.34E-10,1100,0.245,7,2700
0.045747325,2.4,0.0346,4.34E-10,200,0.245,14,3000
0.068620987,2.4,0.0346,4.34E-10,300,0.245,14,2800
0.09149465,2.4,0.0346,4.34E-10,400,0.245,14,2500
0.114368312,2.4,0.0346,4.34E-10,500,0.245,14,1300
0.137241974,2.4,0.0346,4.34E-10,600,0.245,14,1100
0.160115637,2.4,0.0346,4.34E-10,700,0.245,14,1100
0.182989299,2.4,0.0346,4.34E-10,800,0.245,14,1100
0.205862962,2.4,0.0346,4.34E-10,900,0.245,14,1000
0.228736624,2.4,0.0346,4.34E-10,1000,0.245,14,900
0.251610287,2.4,0.0346,4.34E-10,1100,0.245,14,800
0.045747325,2.4,0.0346,4.34E-10,200,0.245,14,2800
0.068620987,2.4,0.0346,4.34E-10,300,0.245,14,2400
0.09149465,2.4,0.0346,4.34E-10,400,0.245,14,2000
0.114368312,2.4,0.0346,4.34E-10,500,0.245,14,1500
0.137241974,2.4,0.0346,4.34E-10,600,0.245,14,1500
0.160115637,2.4,0.0346,4.34E-10,700,0.245,14,1400
0.182989299,2.4,0.0346,4.34E-10,800,0.245,14,1400
0.205862962,2.4,0.0346,4.34E-10,900,0.245,14,1300
0.228736624,2.4,0.0346,4.34E-10,1000,0.245,14,1200
0.251610287,2.4,0.0346,4.34E-10,1100,0.245,14,1000
0.045747325,2.4,0.0346,4.34E-10,200,0.245,14,1900
0.068620987,2.4,0.0346,4.34E-10,300,0.245,14,1500
0.09149465,2.4,0.0346,4.34E-10,400,0.245,14,1300
0.114368312,2.4,0.0346,4.34E-10,500,0.245,14,1300
0.137241974,2.4,0.0346,4.34E-10,600,0.245,14,1100
0.160115637,2.4,0.0346,4.34E-10,700,0.245,14,900
0.182989299,2.4,0.0346,4.34E-10,800,0.245,14,900
0.205862962,2.4,0.0346,4.34E-10,900,0.245,14,900
0.228736624,2.4,0.0346,4.34E-10,1000,0.245,14,1000
0.251610287,2.4,0.0346,4.34E-10,1100,0.245,14,900
0.045747325,2.4,0.0346,4.34E-10,200,0.453,7,2700
0.068620987,2.4,0.0346,4.34E-10,300,0.453,7,1300
0.09149465,2.4,0.0346,4.34E-10,400,0.453,7,1200
0.114368312,2.4,0.0346,4.34E-10,500,0.453,7,1000
0.137241974,2.4,0.0346,4.34E-10,600,0.453,7,1000
0.160115637,2.4,0.0346,4.34E-10,700,0.453,7,900
0.182989299,2.4,0.0346,4.34E-10,800,0.453,7,900
0.205862962,2.4,0.0346,4.34E-10,900,0.453,7,900
0.228736624,2.4,0.0346,4.34E-10,1000,0.453,7,900
0.251610287,2.4,0.0346,4.34E-10,1100,0.453,7,800
0.045747325,2.4,0.0346,4.34E-10,200,0.453,7,3200
0.068620987,2.4,0.0346,4.34E-10,300,0.453,7,2800
0.09149465,2.4,0.0346,4.34E-10,400,0.453,7,2000
0.114368312,2.4,0.0346,4.34E-10,500,0.453,7,1700
0.137241974,2.4,0.0346,4.34E-10,600,0.453,7,1000
0.160115637,2.4,0.0346,4.34E-10,700,0.453,7,1000
0.182989299,2.4,0.0346,4.34E-10,800,0.453,7,800
0.205862962,2.4,0.0346,4.34E-10,900,0.453,7,800
0.251610287,2.4,0.0346,4.34E-10,1100,0.453,7,800
0.045747325,2.4,0.0346,4.34E-10,200,0.453,7,2800
0.068620987,2.4,0.0346,4.34E-10,300,0.453,7,2100
0.09149465,2.4,0.0346,4.34E-10,400,0.453,7,1700
0.114368312,2.4,0.0346,4.34E-10,500,0.453,7,1500
0.137241974,2.4,0.0346,4.34E-10,600,0.453,7,1500
0.160115637,2.4,0.0346,4.34E-10,700,0.453,7,1200
0.182989299,2.4,0.0346,4.34E-10,800,0.453,7,1200
0.205862962,2.4,0.0346,4.34E-10,900,0.453,7,1100
0.228736624,2.4,0.0346,4.34E-10,1000,0.453,7,900
0.251610287,2.4,0.0346,4.34E-10,1100,0.453,7,900
0.045747325,2.4,0.0346,4.34E-10,200,0.453,14,1600
0.068620987,2.4,0.0346,4.34E-10,300,0.453,14,1200
0.09149465,2.4,0.0346,4.34E-10,400,0.453,14,1200
0.114368312,2.4,0.0346,4.34E-10,500,0.453,14,1200
0.137241974,2.4,0.0346,4.34E-10,600,0.453,14,1000
0.160115637,2.4,0.0346,4.34E-10,700,0.453,14,800
0.182989299,2.4,0.0346,4.34E-10,800,0.453,14,700
0.205862962,2.4,0.0346,4.34E-10,900,0.453,14,600
0.228736624,2.4,0.0346,4.34E-10,1000,0.453,14,700
0.251610287,2.4,0.0346,4.34E-10,1100,0.453,14,600
0.045747325,2.4,0.0346,4.34E-10,200,0.453,14,3000
0.068620987,2.4,0.0346,4.34E-10,300,0.453,14,2000
0.09149465,2.4,0.0346,4.34E-10,400,0.453,14,1500
0.114368312,2.4,0.0346,4.34E-10,500,0.453,14,1400
0.137241974,2.4,0.0346,4.34E-10,600,0.453,14,800
0.160115637,2.4,0.0346,4.34E-10,700,0.453,14,800
0.182989299,2.4,0.0346,4.34E-10,800,0.453,14,800
0.205862962,2.4,0.0346,4.34E-10,900,0.453,14,600
0.228736624,2.4,0.0346,4.34E-10,1000,0.453,14,400
0.045747325,2.4,0.0346,4.34E-10,200,0.453,14,1300
0.068620987,2.4,0.0346,4.34E-10,300,0.453,14,900
0.09149465,2.4,0.0346,4.34E-10,400,0.453,14,700
0.114368312,2.4,0.0346,4.34E-10,500,0.453,14,500
0.137241974,2.4,0.0346,4.34E-10,600,0.453,14,400
0.160115637,2.4,0.0346,4.34E-10,700,0.453,14,400
0.182989299,2.4,0.0346,4.34E-10,800,0.453,14,300
0.205862962,2.4,0.0346,4.34E-10,900,0.453,14,300
0.228736624,2.4,0.0346,4.34E-10,1000,0.453,14,300
0.251610287,2.4,0.0346,4.34E-10,1100,0.453,14,200
0.045156744,0,0.0838,1.05E-09,200,0.245,7,4100
0.067735116,0,0.0838,1.05E-09,300,0.245,7,3400
0.090313487,0,0.0838,1.05E-09,400,0.245,7,3100
0.112891859,0,0.0838,1.05E-09,500,0.245,7,3100
0.135470231,0,0.0838,1.05E-09,600,0.245,7,2800
0.158048603,0,0.0838,1.05E-09,700,0.245,7,2500
0.180626975,0,0.0838,1.05E-09,800,0.245,7,2400
0.203205347,0,0.0838,1.05E-09,900,0.245,7,1800
0.225783718,0,0.0838,1.05E-09,1000,0.245,7,2500
0.24836209,0,0.0838,1.05E-09,1100,0.245,7,1900
0.067735116,0,0.0838,1.05E-09,300,0.245,7,3600
0.090313487,0,0.0838,1.05E-09,400,0.245,7,3000
0.112891859,0,0.0838,1.05E-09,500,0.245,7,2600
0.135470231,0,0.0838,1.05E-09,600,0.245,7,2700
0.158048603,0,0.0838,1.05E-09,700,0.245,7,2600
0.180626975,0,0.0838,1.05E-09,800,0.245,7,2400
0.203205347,0,0.0838,1.05E-09,900,0.245,7,2100
0.225783718,0,0.0838,1.05E-09,1000,0.245,7,2200
0.24836209,0,0.0838,1.05E-09,1100,0.245,7,1800
0.045156744,0,0.0838,1.05E-09,200,0.245,7,4000
0.067735116,0,0.0838,1.05E-09,300,0.245,7,3700
0.090313487,0,0.0838,1.05E-09,400,0.245,7,3000
0.112891859,0,0.0838,1.05E-09,500,0.245,7,3000
0.135470231,0,0.0838,1.05E-09,600,0.245,7,2700
0.158048603,0,0.0838,1.05E-09,700,0.245,7,2400
0.203205347,0,0.0838,1.05E-09,900,0.245,7,2000
0.225783718,0,0.0838,1.05E-09,1000,0.245,7,1900
0.24836209,0,0.0838,1.05E-09,1100,0.245,7,1600
0.045156744,0,0.0838,1.05E-09,200,0.245,14,3300
0.067735116,0,0.0838,1.05E-09,300,0.245,14,3000
0.090313487,0,0.0838,1.05E-09,400,0.245,14,2400
0.112891859,0,0.0838,1.05E-09,500,0.245,14,1800
0.135470231,0,0.0838,1.05E-09,600,0.245,14,1600
0.158048603,0,0.0838,1.05E-09,700,0.245,14,1400
0.180626975,0,0.0838,1.05E-09,800,0.245,14,1000
0.203205347,0,0.0838,1.05E-09,900,0.245,14,1100
0.225783718,0,0.0838,1.05E-09,1000,0.245,14,1100
0.24836209,0,0.0838,1.05E-09,1100,0.245,14,900
0.045156744,0,0.0838,1.05E-09,200,0.245,14,3200
0.067735116,0,0.0838,1.05E-09,300,0.245,14,2700
0.090313487,0,0.0838,1.05E-09,400,0.245,14,1900
0.112891859,0,0.0838,1.05E-09,500,0.245,14,1700
0.135470231,0,0.0838,1.05E-09,600,0.245,14,1400
0.180626975,0,0.0838,1.05E-09,800,0.245,14,1500
0.203205347,0,0.0838,1.05E-09,900,0.245,14,1400
0.225783718,0,0.0838,1.05E-09,1000,0.245,14,1400
0.24836209,0,0.0838,1.05E-09,1100,0.245,14,1400
0.045156744,0,0.0838,1.05E-09,200,0.245,14,3500
0.067735116,0,0.0838,1.05E-09,300,0.245,14,3000
0.090313487,0,0.0838,1.05E-09,400,0.245,14,2700
0.112891859,0,0.0838,1.05E-09,500,0.245,14,2200
0.135470231,0,0.0838,1.05E-09,600,0.245,14,1700
0.158048603,0,0.0838,1.05E-09,700,0.245,14,1400
0.180626975,0,0.0838,1.05E-09,800,0.245,14,1500
0.203205347,0,0.0838,1.05E-09,900,0.245,14,1400
0.225783718,0,0.0838,1.05E-09,1000,0.245,14,1300
0.24836209,0,0.0838,1.05E-09,1100,0.245,14,1300
0.045156744,0,0.0838,1.05E-09,200,0.453,7,3700
0.067735116,0,0.0838,1.05E-09,300,0.453,7,2200
0.112891859,0,0.0838,1.05E-09,500,0.453,7,1900
0.135470231,0,0.0838,1.05E-09,600,0.453,7,1600
0.158048603,0,0.0838,1.05E-09,700,0.453,7,1600
0.180626975,0,0.0838,1.05E-09,800,0.453,7,1400
0.203205347,0,0.0838,1.05E-09,900,0.453,7,1500
0.225783718,0,0.0838,1.05E-09,1000,0.453,7,1500
0.24836209,0,0.0838,1.05E-09,1100,0.453,7,1400
0.045156744,0,0.0838,1.05E-09,200,0.453,7,3700
0.067735116,0,0.0838,1.05E-09,300,0.453,7,3400
0.090313487,0,0.0838,1.05E-09,400,0.453,7,2800
0.112891859,0,0.0838,1.05E-09,500,0.453,7,2400
0.135470231,0,0.0838,1.05E-09,600,0.453,7,2000
0.158048603,0,0.0838,1.05E-09,700,0.453,7,1800
0.180626975,0,0.0838,1.05E-09,800,0.453,7,1700
0.203205347,0,0.0838,1.05E-09,900,0.453,7,1200
0.225783718,0,0.0838,1.05E-09,1000,0.453,7,1400
0.24836209,0,0.0838,1.05E-09,1100,0.453,7,1500
0.045156744,0,0.0838,1.05E-09,200,0.453,7,3500
0.067735116,0,0.0838,1.05E-09,300,0.453,7,3000
0.090313487,0,0.0838,1.05E-09,400,0.453,7,2600
0.112891859,0,0.0838,1.05E-09,500,0.453,7,2500
0.135470231,0,0.0838,1.05E-09,600,0.453,7,2200
0.158048603,0,0.0838,1.05E-09,700,0.453,7,1700
0.180626975,0,0.0838,1.05E-09,800,0.453,7,1700
0.225783718,0,0.0838,1.05E-09,1000,0.453,7,1400
0.24836209,0,0.0838,1.05E-09,1100,0.453,7,1400
0.045156744,0,0.0838,1.05E-09,200,0.453,14,2200
0.067735116,0,0.0838,1.05E-09,300,0.453,14,1400
0.090313487,0,0.0838,1.05E-09,400,0.453,14,1400
0.112891859,0,0.0838,1.05E-09,500,0.453,14,1400
0.135470231,0,0.0838,1.05E-09,600,0.453,14,1200
0.158048603,0,0.0838,1.05E-09,700,0.453,14,900
0.180626975,0,0.0838,1.05E-09,800,0.453,14,900
0.203205347,0,0.0838,1.05E-09,900,0.453,14,800
0.225783718,0,0.0838,1.05E-09,1000,0.453,14,800
0.24836209,0,0.0838,1.05E-09,1100,0.453,14,800
0.045156744,0,0.0838,1.05E-09,200,0.453,14,3000
0.067735116,0,0.0838,1.05E-09,300,0.453,14,2500
0.090313487,0,0.0838,1.05E-09,400,0.453,14,2100
0.112891859,0,0.0838,1.05E-09,500,0.453,14,2000
0.135470231,0,0.0838,1.05E-09,600,0.453,14,1600
0.158048603,0,0.0838,1.05E-09,700,0.453,14,1300
0.180626975,0,0.0838,1.05E-09,800,0.453,14,1100
0.203205347,0,0.0838,1.05E-09,900,0.453,14,1000
0.225783718,0,0.0838,1.05E-09,1000,0.453,14,900
0.24836209,0,0.0838,1.05E-09,1100,0.453,14,700
0.045156744,0,0.0838,1.05E-09,200,0.453,14,2400
0.067735116,0,0.0838,1.05E-09,300,0.453,14,2000
0.090313487,0,0.0838,1.05E-09,400,0.453,14,1900
0.112891859,0,0.0838,1.05E-09,500,0.453,14,1700
0.158048603,0,0.0838,1.05E-09,700,0.453,14,1400
0.180626975,0,0.0838,1.05E-09,800,0.453,14,1300
0.203205347,0,0.0838,1.05E-09,900,0.453,14,1100
0.225783718,0,0.0838,1.05E-09,1000,0.453,14,1100
0.24836209,0,0.0838,1.05E-09,1100,0.453,14,900
